image_id,annotation
10017.png,balcony juts south master north approximately 12 feet wide 5 feet deep total square footage 60 bathroom northeast corner common room south living room west approximately 12 feet wide 5 feet deep total square footage 60 common room east bathroom north master room south living room west half south wall exterior approximately 12 feet wide 10 feet deep total square footage 120 kitchen southwest corner living room north master room east approximately 10 feet wide 10 feet deep total square footage 100 living room northwest corner bathroom common room east master room inset south west corner kitchen south approximately 15 feet wide 30 feet deep minus knock master room total square footage 400 master room east living room northwest corner common room north balcony south kitchen west approximately 12 feet wide 20 feet deep total square footage 240
10042.png,balcony southeastern corner floor plan leading directly south living rooms south edge adjoined master bedroom right approximately 5 feet long 12 feet wide bathroom 1 nestled north floor plan living room rightand south sides common room left approximately 7 feet long 4 feet wide bathroom 2 adjoined master bedroom northern edge leads hallway portion living room right approximately 5 feet long 8 feet wide common room northwestern corner floor plan neighbored bathroom 1 living room east bathroom 2 south relatively large room approximately 12 feet long 10 feet wide kitchen relatively narrow floor plans northeastern corner adjoined living room left approximately 12 feet long 5 feet wide living room dominates eastern portion floor plan serves hub rooms bordered kitchen northeast balcony south master bedroom southwestern edge common room 1 bathroom 1 northwestern extreity approximately 30 feet long 15 feet wide various smaller extensions west east master bedroom lies southwestern corner floor plan living room right adjoined bathroom 2 hallway portion living room north approximately 18 feet long 15 feet wide additional hallway extension northeast corner
10045.png,bathroom north house living room common room size bathroom 8 feet width 6 feet length common room north east corner house living room bathroom master room size common room 10 feet width 14 feet length kitchen west house living room size kitchen 6 feet width 16 feet length living room west house master room kitchen bathroom common room size living room 348 sqft master room south east corner house living room common room size master room 12 feet width 14 feet length
10047.png,balcony north east corner just kitchen 5 x 10 bath 1 connects master south com 1 north bath 1 10 10 left house bath accessible living room south kitchen north located right house 8 x 5 com 1 left house north location bathroom 10 15 dog leg shape com 2 com 1 right northern center house 10 x 10 overlooks central living room kitchen upper right floorplan 10 x 10 overlooks living room left living room central floorplan 18 30 central house bathroom kitchen balcony left master left com 2 meets living room northern end master left kitchen adjoining bathroom just north master master 15 x 15 left corner house
10052.png,balcony southwest apartment living room measures 12 feet 4 feet bathroom west apartment living room measures 8 feet 7 feet common room northeast apartment living room measures 13 feet 10 feet kitchen north apartment living room measures 10 feet 10 feet living room center apartment master bedroom measures 20 feet 30 feet bedroom south east corner apartment living room measures 10 feet 12 feet
10053.png,balcony general west corner floor plan south kitchen accosted living room size room roughly 6 feet 3 feet second balcony located south oh floor plan south living room connected master room measurements roughly 19 feet 4 feet bathroom located general e corner floor plan master room common area room measurement roughly 6 feet 4 feet common room general ne corner floor plan living room bathroom rooms measurement roughly 15 feet 9 feet kitchen general west corner oh floor plan north balcony living room measurements roughly 14 feet 9 feet living room general north floor plan access room measurements roughly 15 feet 32 feet master room located southeast corner floor plan near bathroom second balcony living room measurements roughly 15 feet 20 feet
10073.png,small balcony located master bedroom entrance living room tiny bathroom located south kitchen north master bedroom common room northeast structure opposite kitchen offering decent space kitchen located northwest structure respectively cornering apartment near entrance living room largest room structure providing direct access room house master room corner structure close bath living room balcony
10077.png,balcony 1 southern room floor plan north common room master bedroom roughly 18ft 5ft balcony 2 western edge floor plan south master bedroom roughly 8ft 8ft bathroom eastern edge floor plan south common room 10ft 6ft common room eastern wall floor plan extending south west master bedroom roughly 10ft 15ft kitchen north east corner floor plan south living room roughly 10ft 4ft room living room northern floor plan walls east west floor plan roughly 20ft 15ft master bedroom western edge floor plan east common room roughly 12ft 15ft
10079.png,balcony southeast corner house common room end living room walking roughly 49 square feet size bathroom right kitchen walking living room kitchen living room west house 49 square feet size common room south house master room balcony common room roughly 100 square feet size kitchen directly right walking door north house roughly 100 square feet size living room biggest room house covers east roughly 360 square feet door comes living room north house master room right walking living room midway west house 144 square feet size
10089.png,common balcony access common room 2 master bedroom approximately 10 x 5 feet size balcony helps increase air circulation hot climates enhance natural light house living room attached bathroom 1 northwest corner near main door approximately 5 x 10 feet size kitchen east master bedroom attached bathroom 2 northwest corner near main door approximately 5 x 5 feet size private bathroom master bedroom common room 1 located southeast corner house easily accessible living room approximately 10 x 10 feet size includes entryexit door living room common room 2 located south house easily accessible living room approximately 5 x 5 feet size placed master bedroom common room 1 kitchen located north house approximately 10 x 5 feet size includes entryexit door living room bathroom 1 west living room facing west house main door located living room common bathroom 1 kitchen common room 1 common room 2 balcony master bedroom approximately 20 x 15 feet size spacious master bedroom located southwest corner house attached bathroom 2 approximately 12 x 15 feet size includes entryexit door living room common room 2 east
10107.png,balcony 1 south houseit living room north sideits dimensions 5 feet length 14 feet breadth balcony 2 center west houseit living room east kitchen north sideits dimensions 3 feet length 5 feet breadth bathroom sits north east corner houseit living room west master room south sideits dimensions 6 6 feet length breadth kitchen north west corner houseit living room east balcony 2 south sideits dimensions 13 feet length 5 feet breadth living room center houseit kitchen north west balcony 2 westbalcony 1 south bathroom master room east sideits dimensions 25 feet length 10 feet breadth average master room south east corner houseit living room west bathroom 1 north sideits dimensions 15 feet length 10 feet breadth
1011.png,bathroom located east master kitchen size 68 common room located northwest corner dining room size 1612 dining room located north common room kitchen size 1212 kitchen located northeast corner dining size 812 south facing living room connected rooms size 2026 master room located southeast corner bathroom size 1414
10131.png,balcony south east corner apartment living room 5 x 12 bathroom west apartment common room 10 x 7 common room north west corner apartment kitchen bathroom 12 x 12 kitchen north apartment master room 10 x 5 living room southside apartment balcony 20 x 35 master room north east apartment living room 15 x 20
10201.png,balcony located north west cornerthe balcony located nearby kitchenthe floor area 30 square feet bathroom 1 located north east cornerbathroom 1 located nearby master roomthe floor area 60 square feet ref common room 1 located north common room 1 located bathroom 2 master roomthe floor area 150 square feet common room 2 located south common room 2 located nearby master roomthe floor area 150 square feet kitchen located west sidethe kitchen located nearby balconythe floor area 60 square feet living room located west sidethe living room located kitchen common room 2the floor area 375 square feet master room located south east cornerthe master room located nearby common room 2the floor area 320 square feet
10218.png,balcony 1 located north corner house adjacent kitchen balcony 1 6 feet length 6 feet width balcony 2 located south end house living room balcony 2 12 feet width 6 feet length bathroom located west house eastliving room northcommon room 1 southcommon room 2 located 6 feet length 6 feet width common room 1 located west end house bathroom upside right corner balcony 1 located common room 12 feet length 8 feet width common room 2 located west corner house northbathroom right southbalcony 2 common room 2 12 feet width 10 feet length kitchen located middle northbalcony 1 southliving room eastmaster room westcommon room 1 8 feet length 6 feet width enter apartment door south big living room north master room south balcony 2 living room 16 feet length 16 feet width master room located main door north west adjacent kitchen south living room located master bedroom 12 feet length 10 feet width
10241.png,balcony 1 north west map kitchen east common room south estimated 3 ft x 5 ft balcony 2 south east map living room south estimated 15 ft x 5 ft bathroom west mapit common room north living room east master room east north estimated 9 ft x 9 ft common room north west map balcony 1 kitchen north living room east south bathroom south estimated 12 ft x 10 ft kitchen north map bathroom 1 west common room living room north estimated 15 ft x 5 ft living room east map balcony 2 south kitchen north common room master room bathroom west estimated 20 ft x 25ft master room south west map bathroom north living room north west estimated 12 ft x 15 ft
10274.png,balcony south end house living room north measures 6 feet long 14 feet wide bathroom middle north wall com2 east dimensions roughly 6x6 com1 bordered north com2 sits east wall home measures close 14 feet long 16 feet wide com2 east bathroom holds northeast corner house measures 18 feet long 16 feet wide kitchen northwest corner house bathroom east measures 10 feet long 8 feet wide living room occupies west home master room east measures 34 ft long 18 feet wide master room 18x16 foot room length width com1 north southeast corner house
1029.png,bathroom located east sidethe bathroom located master room common room 1the floor area 48 square feet ref common room 1 located north east cornercommon room 1 located nearby kitchenthe floor area 144 square feet common room 2 located south west cornercommon room 2 located nearby master roomthe floor area 150 square feet kitchen located north sidethe kitchen located nearby living roomthe floor area 105 square feet living room located north west cornerthe living room located nearby kitchenthe floor area 350 square feet master room located south east cornerthe master room located nearby common room 2the floor area 250 square feet
10298.png,bathroom east house south common room east living room north master bedroom 8 ft wide eastwest 10 ft long northsouth common room northeast corner house east kitchen north bathroom 12 ft wide eastwest direction 19 ft long northsouth direction kitchen northwest corner house west common room north living room room 9 ft wide northsouth direction 15 ft long eastwest direction living room west house southern edge forms southwest boundary house south kitchen west common room west bathroom shape 15x15 square rectangle stuck rectangle offset 5 ft east square 15 ft wide 15 ft long rectangle 18 ft long 10 ft wide master bedroom southeast corner house south bathroom living room 12 ft wide eastwest direction 15 ft long northsouth direction
1030.png,balcony east house west living room common room 1 house exterior north east south 5 feet wide 26 feet long bathroom 1 west house north kitchen east living room hallway south common room 2 west house exterior 7 feet wide 5 feet long bathroom 2 central house situated northeast corner master north common room 1 east house exterior master south west 9 feet wide 5 feet long common room 1 central house north living room east balcony south master bathroom 2 west living room hallway 13 feet wide 11 feet long common room 2 south house north bathroom 1 living room hallway east master house exterior south west 12 feet wide 13 feet long kitchen west house north living room east living room hallway south bath house exterior west 7 feet wide 9 feet long living room north house north west house exterior main entry west wall north corner east balcony south kitchen common room 1 hallway leading south common room 2 25 feet wide 15 feet long plus 4 feet 15 feet hallway master south house lshaped bathroom 2 situated northeast corner east house house exterior west common room 2 northwest living room hallway north common room 1 13 feet wide 18 feet long minus area bathroom 2
10312.png,balcony approx 60sq feet located center west property comm room north living room east bathroom approx 50sq feet located center east property kitchen north living room west master bedroom south common room approx 130sq feet located north west property living room east south balcony south kitchen approx 60sq feet located north east property living room west bathroom south living room approx 240sq feet located center property comm room west balcony center west kitchen upper east bathroom center east master bedroom lower east balcony center west master room approx 160sq feet located south east property bathroom north living room north west
10344.png,balcony north west corner middle master room common room size 16x4 sq ft bathroom middle east room middle kitchen common room size 10x4 sq ft common room located north east middle bathroom master room size 14x14 sq ft kitchen south east corner site storage bathroom size 10 x 4 sq ft living room south east corner south facing related rooms balcony size 20 x 18 sq ft master room located middle west room living room balcony size is16 x16 sq ft storage south east corner middle living kitchen room size 4x4 sq ft
10384.png,bathroom located exact west center living right total size 9 feet length 9 feet width common room located north west corner living right total size 12 feet length 12 feet width kitchen located north east corner living total size 8 feet length 8 feet width living room located south east corner kitchen total size 30 feet length 25 feet width master room located south west corner bathroom total size 12 feet length 12 feet width
10424.png,balcony 1 located north sideit living roomthe size room 3 feet width 10 feet length balcony 2 located southeast cornerit living roomthe size room 3 feet width 10 feet length bathroom located west common master roomthe size room 5 feet width 8 feet length common room located north west corner living room near master roomthe size room 10 feet width 10 feet length kitchen located northeast cornerit living balconythe size room 9 feet width 10 feet length living room located east roomthe size room 10 feet width 23 feet length master room located southwest cornerit living bath roomthe size room 10 feet width 10 feet length
